Plan ID*,Rating Area ID*,Tobacco*,Age*,Standard Rate*,Tobacco Rate*
49316MN1070001,Rating Area 5,No Preference,51,578.54,
49316MN1070001,Rating Area 5,No Preference,52,605.53,
49316MN1070001,Rating Area 5,No Preference,53,632.83,
49316MN1070001,Rating Area 5,No Preference,54,662.3,
49316MN1070001,Rating Area 5,No Preference,55,691.77,
49316MN1070001,Rating Area 5,No Preference,56,723.72,
49316MN1070001,Rating Area 5,No Preference,57,755.98,
49316MN1070001,Rating Area 5,No Preference,58,790.42,
49316MN1070001,Rating Area 5,No Preference,59,807.48,
49316MN1070001,Rating Area 5,No Preference,60,841.91,
49316MN1070001,Rating Area 5,No Preference,61,871.69,
49316MN1070001,Rating Area 5,No Preference,62,891.24,
49316MN1070001,Rating Area 5,No Preference,63,915.74,
49316MN1070001,Rating Area 5,No Preference,64 and over,930.63,
49316MN1070001,Rating Area 6,No Preference,0-14,266.05,
49316MN1070001,Rating Area 6,No Preference,15,266.05,
49316MN1070001,Rating Area 6,No Preference,16,266.05,
49316MN1070001,Rating Area 6,No Preference,17,266.05,
49316MN1070001,Rating Area 6,No Preference,18,266.05,
49316MN1070001,Rating Area 6,No Preference,19,266.05,
49316MN1070001,Rating Area 6,No Preference,20,266.05,
49316MN1070001,Rating Area 6,No Preference,21,298.94,
49316MN1070001,Rating Area 6,No Preference,22,298.94,
49316MN1070001,Rating Area 6,No Preference,23,298.94,
49316MN1070001,Rating Area 6,No Preference,24,298.94,
49316MN1070001,Rating Area 6,No Preference,25,300.13,
49316MN1070001,Rating Area 6,No Preference,26,306.11,
49316MN1070001,Rating Area 6,No Preference,27,313.29,
49316MN1070001,Rating Area 6,No Preference,28,324.94,
49316MN1070001,Rating Area 6,No Preference,29,334.51,
49316MN1070001,Rating Area 6,No Preference,30,339.29,
49316MN1070001,Rating Area 6,No Preference,31,346.47,
49316MN1070001,Rating Area 6,No Preference,32,353.64,
49316MN1070001,Rating Area 6,No Preference,33,358.13,
49316MN1070001,Rating Area 6,No Preference,34,362.91,
49316MN1070001,Rating Area 6,No Preference,35,365.3,
49316MN1070001,Rating Area 6,No Preference,36,367.69,
49316MN1070001,Rating Area 6,No Preference,37,370.08,
49316MN1070001,Rating Area 6,No Preference,38,372.47,
49316MN1070001,Rating Area 6,No Preference,39,377.26,
49316MN1070001,Rating Area 6,No Preference,40,382.04,
49316MN1070001,Rating Area 6,No Preference,41,389.22,
49316MN1070001,Rating Area 6,No Preference,42,396.09,
49316MN1070001,Rating Area 6,No Preference,43,405.66,
49316MN1070001,Rating Area 6,No Preference,44,417.61,
49316MN1070001,Rating Area 6,No Preference,45,431.66,
49316MN1070001,Rating Area 6,No Preference,46,448.4,
49316MN1070001,Rating Area 6,No Preference,47,467.24,
49316MN1070001,Rating Area 6,No Preference,48,488.76,
49316MN1070001,Rating Area 6,No Preference,49,509.99,
49316MN1070001,Rating Area 6,No Preference,50,533.9,
49316MN1070001,Rating Area 6,No Preference,51,557.52,
49316MN1070001,Rating Area 6,No Preference,52,583.52,
49316MN1070001,Rating Area 6,No Preference,53,609.83,
49316MN1070001,Rating Area 6,No Preference,54,638.23,
49316MN1070001,Rating Area 6,No Preference,55,666.63,
49316MN1070001,Rating Area 6,No Preference,56,697.42,
49316MN1070001,Rating Area 6,No Preference,57,728.51,
49316MN1070001,Rating Area 6,No Preference,58,761.69,
49316MN1070001,Rating Area 6,No Preference,59,778.13,
49316MN1070001,Rating Area 6,No Preference,60,811.31,
49316MN1070001,Rating Area 6,No Preference,61,840.01,
49316MN1070001,Rating Area 6,No Preference,62,858.84,
49316MN1070001,Rating Area 6,No Preference,63,882.46,
49316MN1070001,Rating Area 6,No Preference,64 and over,896.82,
49316MN1070001,Rating Area 7,No Preference,0-14,262.8,
49316MN1070001,Rating Area 7,No Preference,15,262.8,
49316MN1070001,Rating Area 7,No Preference,16,262.8,
49316MN1070001,Rating Area 7,No Preference,17,262.8,
49316MN1070001,Rating Area 7,No Preference,18,262.8,
49316MN1070001,Rating Area 7,No Preference,19,262.8,
49316MN1070001,Rating Area 7,No Preference,20,262.8,
49316MN1070001,Rating Area 7,No Preference,21,295.28,
49316MN1070001,Rating Area 7,No Preference,22,295.28,
49316MN1070001,Rating Area 7,No Preference,23,295.28,
49316MN1070001,Rating Area 7,No Preference,24,295.28,
49316MN1070001,Rating Area 7,No Preference,25,296.46,
49316MN1070001,Rating Area 7,No Preference,26,302.37,
49316MN1070001,Rating Area 7,No Preference,27,309.45,
49316MN1070001,Rating Area 7,No Preference,28,320.97,
49316MN1070001,Rating Area 7,No Preference,29,330.42,
49316MN1070001,Rating Area 7,No Preference,30,335.14,
49316MN1070001,Rating Area 7,No Preference,31,342.23,
49316MN1070001,Rating Area 7,No Preference,32,349.32,
49316MN1070001,Rating Area 7,No Preference,33,353.74,
49316MN1070001,Rating Area 7,No Preference,34,358.47,
49316MN1070001,Rating Area 7,No Preference,35,360.83,
49316MN1070001,Rating Area 7,No Preference,36,363.19,
49316MN1070001,Rating Area 7,No Preference,37,365.56,
49316MN1070001,Rating Area 7,No Preference,38,367.92,
49316MN1070001,Rating Area 7,No Preference,39,372.64,
49316MN1070001,Rating Area 7,No Preference,40,377.37,
49316MN1070001,Rating Area 7,No Preference,41,384.45,
49316MN1070001,Rating Area 7,No Preference,42,391.25,
49316MN1070001,Rating Area 7,No Preference,43,400.69,
49316MN1070001,Rating Area 7,No Preference,44,412.51,
49316MN1070001,Rating Area 7,No Preference,45,426.38,
49316MN1070001,Rating Area 7,No Preference,46,442.92,
49316MN1070001,Rating Area 7,No Preference,47,461.52,
49316MN1070001,Rating Area 7,No Preference,48,482.78,
49316MN1070001,Rating Area 7,No Preference,49,503.75,
49316MN1070001,Rating Area 7,No Preference,50,527.37,
49316MN1070001,Rating Area 7,No Preference,51,550.7,
49316MN1070001,Rating Area 7,No Preference,52,576.39,
49316MN1070001,Rating Area 7,No Preference,53,602.37,
49316MN1070001,Rating Area 7,No Preference,54,630.42,
49316MN1070001,Rating Area 7,No Preference,55,658.47,
49316MN1070001,Rating Area 7,No Preference,56,688.89,
49316MN1070001,Rating Area 7,No Preference,57,719.6,
49316MN1070001,Rating Area 7,No Preference,58,752.37,
49316MN1070001,Rating Area 7,No Preference,59,768.61,
49316MN1070001,Rating Area 7,No Preference,60,801.39,
49316MN1070001,Rating Area 7,No Preference,61,829.74,
49316MN1070001,Rating Area 7,No Preference,62,848.34,
49316MN1070001,Rating Area 7,No Preference,63,871.67,
49316MN1070001,Rating Area 7,No Preference,64 and over,885.84,
49316MN1070001,Rating Area 8,No Preference,0-14,260.09,
49316MN1070001,Rating Area 8,No Preference,15,260.09,
49316MN1070001,Rating Area 8,No Preference,16,260.09,
49316MN1070001,Rating Area 8,No Preference,17,260.09,
