Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220001,Rating Area 4,No Preference,21,293.4,
57129MN0220001,Rating Area 4,No Preference,22,293.4,
57129MN0220001,Rating Area 4,No Preference,23,293.4,
57129MN0220001,Rating Area 4,No Preference,24,293.4,
57129MN0220001,Rating Area 4,No Preference,25,294.58,
57129MN0220001,Rating Area 4,No Preference,26,300.44,
57129MN0220001,Rating Area 4,No Preference,27,307.49,
57129MN0220001,Rating Area 4,No Preference,28,318.93,
57129MN0220001,Rating Area 4,No Preference,29,328.32,
57129MN0220001,Rating Area 4,No Preference,30,333.01,
57129MN0220001,Rating Area 4,No Preference,31,340.05,
57129MN0220001,Rating Area 4,No Preference,32,347.1,
57129MN0220001,Rating Area 4,No Preference,33,351.5,
57129MN0220001,Rating Area 4,No Preference,34,356.19,
57129MN0220001,Rating Area 4,No Preference,35,358.54,
57129MN0220001,Rating Area 4,No Preference,36,360.89,
57129MN0220001,Rating Area 4,No Preference,37,363.23,
57129MN0220001,Rating Area 4,No Preference,38,365.58,
57129MN0220001,Rating Area 4,No Preference,39,370.27,
57129MN0220001,Rating Area 4,No Preference,40,374.97,
57129MN0220001,Rating Area 4,No Preference,41,382.01,
57129MN0220001,Rating Area 4,No Preference,42,388.76,
57129MN0220001,Rating Area 4,No Preference,43,398.15,
57129MN0220001,Rating Area 4,No Preference,44,409.88,
57129MN0220001,Rating Area 4,No Preference,45,423.67,
57129MN0220001,Rating Area 4,No Preference,46,440.1,
57129MN0220001,Rating Area 4,No Preference,47,458.59,
57129MN0220001,Rating Area 4,No Preference,48,479.71,
57129MN0220001,Rating Area 4,No Preference,49,500.54,
57129MN0220001,Rating Area 4,No Preference,50,524.02,
57129MN0220001,Rating Area 4,No Preference,51,547.2,
57129MN0220001,Rating Area 4,No Preference,52,572.72,
57129MN0220001,Rating Area 4,No Preference,53,598.54,
57129MN0220001,Rating Area 4,No Preference,54,626.41,
57129MN0220001,Rating Area 4,No Preference,55,654.29,
57129MN0220001,Rating Area 4,No Preference,56,684.51,
57129MN0220001,Rating Area 4,No Preference,57,715.02,
57129MN0220001,Rating Area 4,No Preference,58,747.59,
57129MN0220001,Rating Area 4,No Preference,59,763.73,
57129MN0220001,Rating Area 4,No Preference,60,796.29,
57129MN0220001,Rating Area 4,No Preference,61,824.46,
57129MN0220001,Rating Area 4,No Preference,62,842.95,
57129MN0220001,Rating Area 4,No Preference,63,866.12,
57129MN0220001,Rating Area 4,No Preference,64 and over,880.2,
57129MN0220001,Rating Area 5,No Preference,0-14,254.3,
57129MN0220001,Rating Area 5,No Preference,15,254.3,
57129MN0220001,Rating Area 5,No Preference,16,254.3,
57129MN0220001,Rating Area 5,No Preference,17,254.3,
57129MN0220001,Rating Area 5,No Preference,18,254.3,
57129MN0220001,Rating Area 5,No Preference,19,254.3,
57129MN0220001,Rating Area 5,No Preference,20,254.3,
57129MN0220001,Rating Area 5,No Preference,21,285.73,
57129MN0220001,Rating Area 5,No Preference,22,285.73,
57129MN0220001,Rating Area 5,No Preference,23,285.73,
57129MN0220001,Rating Area 5,No Preference,24,285.73,
57129MN0220001,Rating Area 5,No Preference,25,286.88,
57129MN0220001,Rating Area 5,No Preference,26,292.59,
57129MN0220001,Rating Area 5,No Preference,27,299.45,
57129MN0220001,Rating Area 5,No Preference,28,310.59,
57129MN0220001,Rating Area 5,No Preference,29,319.74,
57129MN0220001,Rating Area 5,No Preference,30,324.31,
57129MN0220001,Rating Area 5,No Preference,31,331.17,
57129MN0220001,Rating Area 5,No Preference,32,338.02,
57129MN0220001,Rating Area 5,No Preference,33,342.31,
57129MN0220001,Rating Area 5,No Preference,34,346.88,
57129MN0220001,Rating Area 5,No Preference,35,349.17,
57129MN0220001,Rating Area 5,No Preference,36,351.45,
57129MN0220001,Rating Area 5,No Preference,37,353.74,
57129MN0220001,Rating Area 5,No Preference,38,356.02,
57129MN0220001,Rating Area 5,No Preference,39,360.6,
57129MN0220001,Rating Area 5,No Preference,40,365.17,
57129MN0220001,Rating Area 5,No Preference,41,372.03,
57129MN0220001,Rating Area 5,No Preference,42,378.6,
57129MN0220001,Rating Area 5,No Preference,43,387.74,
57129MN0220001,Rating Area 5,No Preference,44,399.17,
57129MN0220001,Rating Area 5,No Preference,45,412.6,
57129MN0220001,Rating Area 5,No Preference,46,428.6,
57129MN0220001,Rating Area 5,No Preference,47,446.6,
57129MN0220001,Rating Area 5,No Preference,48,467.17,
57129MN0220001,Rating Area 5,No Preference,49,487.46,
57129MN0220001,Rating Area 5,No Preference,50,510.32,
57129MN0220001,Rating Area 5,No Preference,51,532.89,
57129MN0220001,Rating Area 5,No Preference,52,557.75,
57129MN0220001,Rating Area 5,No Preference,53,582.9,
57129MN0220001,Rating Area 5,No Preference,54,610.04,
57129MN0220001,Rating Area 5,No Preference,55,637.19,
57129MN0220001,Rating Area 5,No Preference,56,666.62,
57129MN0220001,Rating Area 5,No Preference,57,696.33,
57129MN0220001,Rating Area 5,No Preference,58,728.05,
57129MN0220001,Rating Area 5,No Preference,59,743.76,
57129MN0220001,Rating Area 5,No Preference,60,775.48,
57129MN0220001,Rating Area 5,No Preference,61,802.91,
57129MN0220001,Rating Area 5,No Preference,62,820.91,
57129MN0220001,Rating Area 5,No Preference,63,843.49,
57129MN0220001,Rating Area 5,No Preference,64 and over,857.19,
57129MN0220001,Rating Area 6,No Preference,0-14,235.6,
57129MN0220001,Rating Area 6,No Preference,15,235.6,
57129MN0220001,Rating Area 6,No Preference,16,235.6,
57129MN0220001,Rating Area 6,No Preference,17,235.6,
57129MN0220001,Rating Area 6,No Preference,18,235.6,
57129MN0220001,Rating Area 6,No Preference,19,235.6,
57129MN0220001,Rating Area 6,No Preference,20,235.6,
57129MN0220001,Rating Area 6,No Preference,21,264.72,
57129MN0220001,Rating Area 6,No Preference,22,264.72,
57129MN0220001,Rating Area 6,No Preference,23,264.72,
57129MN0220001,Rating Area 6,No Preference,24,264.72,
57129MN0220001,Rating Area 6,No Preference,25,265.77,
57129MN0220001,Rating Area 6,No Preference,26,271.07,
57129MN0220001,Rating Area 6,No Preference,27,277.42,
57129MN0220001,Rating Area 6,No Preference,28,287.75,
57129MN0220001,Rating Area 6,No Preference,29,296.22,
57129MN0220001,Rating Area 6,No Preference,30,300.45,
57129MN0220001,Rating Area 6,No Preference,31,306.81,
57129MN0220001,Rating Area 6,No Preference,32,313.16,
57129MN0220001,Rating Area 6,No Preference,33,317.13,
57129MN0220001,Rating Area 6,No Preference,34,321.36,
57129MN0220001,Rating Area 6,No Preference,35,323.48,
57129MN0220001,Rating Area 6,No Preference,36,325.6,
57129MN0220001,Rating Area 6,No Preference,37,327.72,
57129MN0220001,Rating Area 6,No Preference,38,329.84,
57129MN0220001,Rating Area 6,No Preference,39,334.07,
57129MN0220001,Rating Area 6,No Preference,40,338.31,
57129MN0220001,Rating Area 6,No Preference,41,344.66,
57129MN0220001,Rating Area 6,No Preference,42,350.75,
57129MN0220001,Rating Area 6,No Preference,43,359.22,
57129MN0220001,Rating Area 6,No Preference,44,369.81,
57129MN0220001,Rating Area 6,No Preference,45,382.25,
57129MN0220001,Rating Area 6,No Preference,46,397.07,
57129MN0220001,Rating Area 6,No Preference,47,413.75,
57129MN0220001,Rating Area 6,No Preference,48,432.81,
57129MN0220001,Rating Area 6,No Preference,49,451.6,
57129MN0220001,Rating Area 6,No Preference,50,472.78,
57129MN0220001,Rating Area 6,No Preference,51,493.69,
57129MN0220001,Rating Area 6,No Preference,52,516.72,
57129MN0220001,Rating Area 6,No Preference,53,540.02,
57129MN0220001,Rating Area 6,No Preference,54,565.17,
57129MN0220001,Rating Area 6,No Preference,55,590.32,
57129MN0220001,Rating Area 6,No Preference,56,617.58,
57129MN0220001,Rating Area 6,No Preference,57,645.11,
57129MN0220001,Rating Area 6,No Preference,58,674.5,
57129MN0220001,Rating Area 6,No Preference,59,689.05,
57129MN0220001,Rating Area 6,No Preference,60,718.44,
57129MN0220001,Rating Area 6,No Preference,61,743.85,
57129MN0220001,Rating Area 6,No Preference,62,760.53,
57129MN0220001,Rating Area 6,No Preference,63,781.44,
57129MN0220001,Rating Area 6,No Preference,64 and over,794.16,
57129MN0220001,Rating Area 7,No Preference,0-14,242.67,
57129MN0220001,Rating Area 7,No Preference,15,242.67,
57129MN0220001,Rating Area 7,No Preference,16,242.67,
57129MN0220001,Rating Area 7,No Preference,17,242.67,
57129MN0220001,Rating Area 7,No Preference,18,242.67,
57129MN0220001,Rating Area 7,No Preference,19,242.67,
57129MN0220001,Rating Area 7,No Preference,20,242.67,
57129MN0220001,Rating Area 7,No Preference,21,272.67,
57129MN0220001,Rating Area 7,No Preference,22,272.67,
57129MN0220001,Rating Area 7,No Preference,23,272.67,
57129MN0220001,Rating Area 7,No Preference,24,272.67,
